# BON2020_LIS spectra tabulated for shieldSim
# Source model: Badhwar-O'Neill 2020 LIS parameters (Z=1 and Z=2)
# Energy column: total kinetic energy [MeV]
# Flux columns: differential flux [particles / (m^2 sr s MeV)]
# NOTE:
#   proton flux is tabulated directly versus total kinetic energy (same as MeV/n for A=1)
#   alpha flux is converted from BON2020's MeV/n representation to total kinetic energy:
#       E_total = 4*T_n,  flux_per_MeV(total) = flux_per_MeV_per_nucleon / 4
# Columns:
#   E_MeV_total   proton_flux   alpha_flux
3.06883789e+04 2.21037887e-16 0.00000000e+00
3.12600724e+04 2.10208702e-16 0.00000000e+00
3.18424160e+04 1.99904431e-16 0.00000000e+00
3.24356081e+04 1.90100006e-16 0.00000000e+00
3.30398507e+04 1.80771530e-16 0.00000000e+00
3.36553498e+04 1.71896226e-16 0.00000000e+00
3.42823149e+04 1.63452386e-16 0.00000000e+00
3.49209598e+04 1.55419320e-16 0.00000000e+00
3.55715021e+04 1.47777313e-16 0.00000000e+00
3.62341632e+04 1.40507576e-16 0.00000000e+00
3.69091691e+04 1.33592209e-16 0.00000000e+00
3.75967497e+04 1.27014153e-16 0.00000000e+00
3.82971391e+04 1.20757161e-16 0.00000000e+00
3.90105762e+04 1.14805750e-16 0.00000000e+00
3.97373038e+04 1.09145174e-16 0.00000000e+00
4.04775697e+04 1.03761387e-16 0.00000000e+00
4.12316259e+04 9.86410074e-17 0.00000000e+00
4.19997295e+04 9.37712932e-17 0.00000000e+00
4.27821420e+04 8.91401077e-17 0.00000000e+00
4.35791301e+04 8.47358932e-17 0.00000000e+00
4.43909653e+04 8.05476434e-17 0.00000000e+00
4.52179242e+04 7.65648780e-17 0.00000000e+00
4.60602884e+04 7.27776180e-17 0.00000000e+00
4.69183451e+04 6.91763620e-17 0.00000000e+00
4.77923865e+04 6.57520641e-17 0.00000000e+00
