model,a,function,first_analytic_vs_stencil,first_source_vs_analytic,second_source_vs_stencil
5_Kmimic_2,0.1,u,2.76662840774806420012083986490271945880621299364317467946784E-24,8.16577834790131437973783123311972289112800964910642190891120E-60,9.14910686583651558605152530168743772277451544801393099455386E-25
5_Kmimic_2,0.1,v,7.30516723958453056034570814307755170275866652296760370218951E-25,0,3.80165383350278844879204446959171645161272448407185861146567E-25
5_Kmimic_2,0.316227766016837933199889354443271853371955513932521682685750,u,2.95554482037696292498713308855434513863590844511275665265712E-24,1.11699903046793951084818985460959219058402816308291750544908E-58,9.50317683601293306484585772917751047709203673809057990321049E-25
5_Kmimic_2,0.316227766016837933199889354443271853371955513932521682685750,v,3.99351594754795271285294868477405815497161437504283894060243E-25,8.09509617007140607247869517077757823047584305357809073561142E-60,1.39212956619927210651078289685797897399304209942869356594083E-25
5_Kmimic_2,1,u,3.94464913592897192292736862963881375935593433549279828920059E-24,6.16390967985407887288508711239700610101264230454745581483114E-60,1.14071892332580937857245366259529618453315116709579886729229E-24
5_Kmimic_2,1,v,7.04011391509334321009943143612928561046887772302064558160024E-25,4.36559053481681006314261989340983145554089929887091264461500E-60,9.00028764871846671141749956286558916460284765485905678302938E-26
5_Kmimic_3,1E-9,u,8.53328369761121196180742343996818662497782229659284995125803E-24,2.14279517903026300243667269927280587161615913377757523681209E-58,2.84443203548423528578386795124233951329063044504933793528446E-24
5_Kmimic_3,1E-9,v,8.53333333330977395804983014565953937969868915630465757201926E-24,5.15155827176899486658634094459100515492481018540441804983040E-57,2.84444444443921819633217613680251828647394395544748248225278E-24
5_Kmimic_3,3.16227766016837933199889354443271853371955513932521682685750E-9,u,8.53317637441206300370344816633408898189923356316577353019467E-24,5.65041757302285504349918834401818875677733533042814925823386E-58,2.84440520443710109405539519107196551876601288290384558518174E-24
5_Kmimic_3,3.16227766016837933199889354443271853371955513932521682685750E-9,v,8.53333333319108339594868059602863871947248506743885192245527E-24,4.42945950538867603233501876811890545078129800571587540056539E-57,2.84444444441152419521616249535232022361378951383442148647710E-24
5_Kmimic_3,1E-8,u,8.53283701512603330769700596789068020829788130156555229329986E-24,1.16083643562230249455575681274316451070028731300927585615886E-57,2.84432036220127636329308258230276066144866137187079388583246E-24
5_Kmimic_3,1E-8,v,8.53333333271851989177181203686940385953651629387324456578607E-24,2.21472975253294215002068197780108170094227242986755191384799E-57,2.84444444430126521110734796827690093815420709069817864860367E-24
5_Kmimic_3,3.16227766016837933199889354443271853371955513932521682685750E-8,u,8.53176412856621170009881044447154225432565383671091545146540E-24,1.11073520175826400013638834067784520037828340447002992627175E-57,2.84405211666087621091265678328804620985131984034103710477680E-24
5_Kmimic_3,3.16227766016837933199889354443271853371955513932521682685750E-8,v,8.53333333083660810314047695258904842819173848084299906439844E-24,2.82234944525179046273598551561978790402608389838506652506015E-57,2.84444444386222590023731779063055650068222308947296875561850E-24
