model,arm,ic,a,H_saved,H_analytic,relative_H_residual
5_Kmimic_2,consistent-background-trace,variant,0.10900000127,1045.0415724,1045.04157244180237465567920328996859939431758540276871796455,4.00006810810458432179175019034875058254444976784930443389915E-11
5_Kmimic_2,consistent-background-trace,variant,0.20800000277,399.94141557,399.941415576751700621892936809491820065344964254903977697780,1.68817240699025224550600653469752101000977044076888955153840E-11
5_Kmimic_2,consistent-background-trace,variant,0.30700001165,228.32375579,228.323755783806577134380245722310767744849356146072755811399,2.71256174995480275499423635998636086290495413920109289561718E-11
5_Kmimic_2,consistent-background-trace,variant,0.40600000577,156.58041438,156.580414378048716925657705635945716924739936110023171946144,1.24618591799532978350154949644862722324392666730915570591428E-11
5_Kmimic_2,consistent-background-trace,variant,0.50499999989,120.07040111,120.070401108009198906279676629701934977626822712893019313963,1.65802818622758856735034773331671873108726444733120288982434E-11
5_Kmimic_2,consistent-background-trace,variant,0.60400002351,99.384870216,99.3848702163112406055377073838461261144396688965871374972961,3.13166988959478424493457637623472059219372026729007218802686E-12
5_Kmimic_2,consistent-background-trace,variant,0.70299998813,86.845145144,86.8451451442483837112568195176701135761322757976563748442825,2.86007595294196565814706638159863360122612508875152100043648E-12
5_Kmimic_2,consistent-background-trace,variant,0.80200001176,78.867928859,78.8679288583156226956264937927568015784773197296045023510260,8.67751079906048033682647035165856314014984534125560965493390E-12
5_Kmimic_2,consistent-background-trace,variant,0.90099997637,73.596565828,73.5965658282905528334276772633161607908769585532480344082971,3.94791292443687126696892037495343296873235633063970558587385E-12
5_Kmimic_2,consistent-background-trace,variant,1.0000000000,70.000000000,70.000000000000000000000000000000,0E-21
5_Kmimic_3,stock-trace,nominal,0.0000099999997474,6571896938.8,6571896938.75461616405365529438354734857020480067073014664729,6.90574370976541790811636691909761439931938291045283182613990E-12
5_Kmimic_3,stock-trace,nominal,0.000021544346486,1441243463.8,1441243463.83771231889904919600709026434138441715170191878617,2.61665151275896430151233194877818631590327778826845380313953E-11
5_Kmimic_3,stock-trace,nominal,0.000046415887724,321967585.49,321967585.499820878906881794279430460580221529890796882535210,3.05026945232263387440177936449108077006734772027966025831052E-11
5_Kmimic_3,stock-trace,nominal,0.00010000000443,74407658.226,74407658.2303022266876487980152997600465853999254239362762604,5.78196759577192699154527834756203473864136088570486954770054E-11
5_Kmimic_3,stock-trace,nominal,0.00021544346877,18151310.140,18151310.1394124884787863480864427673068164135873578383707195,3.23674443708035233624867528809458385818844054680727305340396E-11
5_Kmimic_3,stock-trace,nominal,0.00046415895732,4747786.8607,4747786.86074000179079941698585659243787757753562054908040077,8.42535521764812498499808681927053688240616609307677493494243E-12
5_Kmimic_3,stock-trace,nominal,0.0010000001139,1330852.1417,1330852.14174832627903096652656936968253805775332290866293208,3.63122825706849813529570530239658231682550265852104500283093E-11
5_Kmimic_3,stock-trace,nominal,0.0021544348376,393317.65570,393317.655698508353540297824729167347995538877072783380017210,3.79247266957148008556243412100943966654640055811255055235498E-12
5_Kmimic_3,stock-trace,nominal,0.0046415889407,120122.15431,120122.154310581481682700871697840858757017185222632588508233,4.84075303209617310618990785478530284703837741237288425120022E-12
