model,a,k,grid_coordinate,grid_phase,phase_product,C,A1,adotoa,normalized_C
5_Kmimic_2,9.932602494447192e-09,0.21722015556032384,110.67399913073785,0.6739991307378546,0.219724302502471,-529384.5707548576,5023.82611752937,217.22240501381648,-0.002233199101715497
5_Kmimic_2,9.999999927447861e-09,33.20916586927272,110.99999965025009,0.9999996502500892,3.4974978848571483e-07,-0.5318434660393785,4953.505445346932,215.7580490235956,-2.306413495486128e-09
5_Kmimic_2,1.010156897744995e-08,0.21358679972010097,111.48716054249402,0.4871605424940242,0.24983514833095224,-554526.2983897371,4857.531308472054,213.58908579075631,-0.0025023521402182977
5_Kmimic_2,1.0276383748992518e-08,0.20995344387987808,112.31427481750246,0.314274817502465,0.21550615658625732,-440633.38729777245,4693.246185805549,209.95566121538104,-0.0021298493534384145
5_Kmimic_2,1.0457355676479488e-08,0.2063200880396552,113.15582862797548,0.15582862797548103,0.13154606667876015,-247751.4408315732,4531.240888429662,206.32216281190813,-0.0012844206368487817
5_Kmimic_2,1.0644815876183314e-08,0.20268673219943234,114.01233507511309,0.012335075113085736,0.012182921035040269,-21133.671233462297,4371.741301929696,202.6886168542531,-0.00011766892185822392
5_Kmimic_2,1.0839119625240206e-08,0.19905337635920944,114.88433504084645,0.8843350408464516,0.10228657637755634,-176650.87683443655,4217.430055755374,199.05539043269292,-0.0010571096153203163
5_Kmimic_2,1.1040648630858332e-08,0.19542002051898658,115.77239934107862,0.772399341078625,0.17579859897993094,-279588.8976314235,4065.6607256853526,195.42213367183163,-0.0018006996735126556
5_Kmimic_2,1.1249813538565436e-08,0.1917866646787637,116.67713099053951,0.67713099053951,0.21862461219049203,-320166.66529593157,3916.324535015209,191.78882850710656,-0.0022225463486035876
5_Kmimic_2,1.1467056720273822e-08,0.1881533088385408,117.5991676369537,0.5991676369536947,0.24016577978102022,-323835.16536494513,3769.556694424542,188.1554911114666,-0.002426609721496581
5_Kmimic_2,1.169285539260939e-08,0.18451995299831794,118.5391842386124,0.5391842386124068,0.24846459544436597,-308442.67450243194,3625.4606700622007,184.52213448838043,-0.0024987011841151657
5_Kmimic_2,1.1927725110693147e-08,0.18088659715809505,119.49789600893132,0.49789600893132047,0.24999557322158292,-285692.3134662095,3484.110949986361,180.88876855455413,-0.0025060133197670237
5_Kmimic_2,1.2172223701193157e-08,0.17725324131787218,120.4760617000653,0.47606170006530135,0.24942695779623641,-262375.41931120155,3345.5554741232863,177.255400049966,-0.0024960654025110362
5_Kmimic_2,1.2426955683708703e-08,0.1736198854776493,121.47448720371408,0.4744872037140766,0.24934909722567297,-241410.605897163,3209.817753177277,173.6220325063641,-0.002494975580416919
